Project,mcm-kui:3.4.0
Directory Scanned,~/Desktop/mcm-kui/awsom-output/node_modules
Date,2019-10-25T15:58:14.185Z
CLI Version,2.2.34
WILD Version,1.0.174
,
Name,Version,Need Pedigree Review,Reason,Review Level,Declared License,License Status,Path,Comments
atob,2.1.2,FALSE,Exempt - Version closely related to 2.1.0,2,Apache-2.0,Needs Review | Needs Legal Approval,atob,,
aws-sign2,0.7.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,aws-sign2,,
aws4,1.8.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,aws4,,
axios,0.19.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,axios,,
balanced-match,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,balanced-match,,
base,0.11.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,base,,
base64-js,1.3.1,FALSE,Exempt - Version closely related to 1.3.0,2,MIT,Approved,base64-js,,
basic-auth,2.0.1,FALSE,Exempt - Version closely related to 2.0.0,2,MIT,Approved,basic-auth,,
bcrypt-pbkdf,1.0.2,FALSE,Exempt - Version closely related to 1.0.0,2,BSD-3-Clause,Needs Review,bcrypt-pbkdf,,
bl,3.0.0,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,bl,,
bluebird,3.7.1,FALSE,Exempt - Expected license matched,2,MIT,Approved,bluebird,,
brace-expansion,1.1.11,FALSE,Exempt - Version closely related to 1.1.6,2,MIT,Approved,brace-expansion,,
braces,1.8.5,FALSE,Exempt - Version closely related to 1.8.3,2,MIT,Approved,braces,,
braces,2.3.2,FALSE,Exempt - Version closely related to 2.3.0,2,MIT,Approved,braces,,
buffer-from,1.1.1,FALSE,Exempt - Version closely related to 1.1.0,2,MIT,Approved,buffer-from,,
bytes,3.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,bytes,,
cacache,12.0.3,FALSE,Exempt - Version closely related to 12.0.2,2,ISC,Approved,cacache,,
cache-base,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,cache-base,,
camelcase,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,camelcase,,
carbon-icons,7.0.7,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,carbon-icons,,
caseless,0.12.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,caseless,,
chokidar,1.5.2,FALSE,Previously pedigree reviewed,2,MIT,Approved | Reference Only,chokidar,,
chokidar,2.1.8,FALSE,Exempt - Version closely related to 2.1.6,2,MIT,Approved,chokidar,,
chownr,1.1.1,FALSE,Previously pedigree reviewed,2,ISC,Approved,chownr,,
chownr,1.1.3,FALSE,Exempt - Version closely related to 1.1.1,2,ISC,Approved,chownr,,
class-utils,0.3.6,FALSE,Exempt - Version closely related to 0.3.5,2,MIT,Approved,class-utils,,
classnames,2.2.6,FALSE,Previously pedigree reviewed,2,MIT,Approved,classnames,,
cli,1.0.1,FALSE,Exempt - Version closely related to 1.0.0,2,MIT,Approved,cli,,
cliui,3.2.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,cliui,,
clone,1.0.4,FALSE,Exempt - Expected license matched,2,MIT,Approved,clone,,
code-point-at,1.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,code-point-at,,
collection-visit,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,collection-visit,,
combined-stream,1.0.8,FALSE,Exempt - Version closely related to 1.0.7,2,MIT,Approved,combined-stream,,
commander,2.20.3,FALSE,Exempt - Version closely related to 2.20.0,2,MIT,Approved,commander,,
component-emitter,1.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,component-emitter,,
concat-map,0.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,concat-map,,
concat-stream,1.6.2,FALSE,Exempt - Version closely related to 1.6.0,2,MIT,Approved,concat-stream,,
console-control-strings,1.1.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,console-control-strings,,
consolidate,0.15.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,consolidate,,
content-disposition,0.5.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,content-disposition,,
content-type,1.0.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,content-type,,
cookie,0.3.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,cookie,,
cookie-signature,1.0.6,FALSE,Previously pedigree reviewed,2,MIT,Approved,cookie-signature,,
copy-descriptor,0.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,copy-descriptor,,
core-util-is,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,core-util-is,,
cors,2.8.5,FALSE,Exempt - Version closely related to 2.8.1,2,MIT,Approved,cors,,
cross-spawn,6.0.5,FALSE,Previously pedigree reviewed,2,MIT,Approved,cross-spawn,,
css-loader,3.2.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,css-loader,,
cyclist,1.0.1,FALSE,Exempt - Expected license matched,2,MIT,Approved,cyclist,,
dashdash,1.14.1,FALSE,Exempt - Version closely related to 1.14.0,2,MIT,Needs Review,dashdash,,
debug,2.6.9,FALSE,Previously pedigree reviewed,2,MIT,Approved,debug,,
debug,3.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,debug,,
debug,3.2.6,FALSE,Exempt - Version closely related to 3.2.5,2,MIT,Approved,debug,,
decamelize,1.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,decamelize,,
decode-uri-component,0.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,decode-uri-component,,
decompress-response,4.2.1,FALSE,Exempt - Expected license matched,2,MIT,Approved,decompress-response,,
deep-equal,1.1.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,deep-equal,,
define-properties,1.1.3,FALSE,Exempt - Version closely related to 1.1.2,2,MIT,Approved,define-properties,,
define-property,0.2.5,FALSE,Previously pedigree reviewed,2,MIT,Approved,define-property,,
define-property,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,define-property,,
define-property,2.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,define-property,,
delayed-stream,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,delayed-stream,,
delegates,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,delegates,,
depd,1.1.2,FALSE,Exempt - Version closely related to 1.1.0,2,MIT,Approved,depd,,
destroy,1.0.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,destroy,,
downshift,1.31.16,FALSE,Exempt - Version closely related to 1.31.14,2,MIT,Approved,downshift,,
dustjs-example-amd,1.0.0,FALSE,Previously pedigree reviewed,2,,No license information available,dustjs-example-amd,,
dustjs-example-commonjs,1.0.0,FALSE,Previously pedigree reviewed,2,,No license information available,dustjs-example-commonjs,,
dustjs-example-hoffman,1.0.0,FALSE,Previously pedigree reviewed,2,,No license information available,dustjs-example-hoffman,,
dustjs-example-simple,1.0.0,FALSE,Previously pedigree reviewed,2,,No license information available,dustjs-example-simple,,
dustjs-example-streaming,1.0.0,FALSE,Previously pedigree reviewed,2,,No license information available,dustjs-example-streaming,,
dustjs-example-streaming-incremental,1.0.0,FALSE,Previously pedigree reviewed,2,,No license information available,dustjs-example-streaming-incremental,,
dustjs-linkedin,2.7.5,FALSE,Previously pedigree reviewed,2,MIT,Approved,dustjs-linkedin,,
ecc-jsbn,0.1.2,FALSE,Exempt - Version closely related to 0.1.1,2,MIT,Needs Review,ecc-jsbn,,
ee-first,1.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,ee-first,,
elliptic,6.5.1,FALSE,Exempt - Version closely related to 6.5.0,2,MIT,Approved,elliptic,,
encodeurl,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,encodeurl,,
end-of-stream,1.4.4,FALSE,Exempt - Version closely related to 1.4.0,2,MIT,Approved,end-of-stream,,
enhanced-resolve,4.1.1,FALSE,Exempt - Version closely related to 4.1.0,2,MIT,Approved,enhanced-resolve,,
entities,1.1.2,FALSE,Previously pedigree reviewed,2,BSD-2-Clause,Approved,entities,,
es-abstract,1.16.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,es-abstract,,
es-to-primitive,1.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,es-to-primitive,,
escape-html,1.0.3,FALSE,Previously pedigree reviewed,2,MIT,Approved,escape-html,,
escape-string-regexp,1.0.5,FALSE,Previously pedigree reviewed,2,MIT,Approved,escape-string-regexp,,
esprima,4.0.1,FALSE,Previously pedigree reviewed,2,BSD-2-Clause,Approved,esprima,,
estraverse,4.3.0,FALSE,Previously pedigree reviewed,2,BSD-2-Clause,Approved,estraverse,,
etag,1.8.1,FALSE,Exempt - Version closely related to 1.8.0,2,MIT,Approved,etag,,
eventemitter3,4.0.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,eventemitter3,,
exit,0.1.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,exit,,
expand-brackets,0.1.5,FALSE,Exempt - Version closely related to 0.1.4,2,MIT,Approved,expand-brackets,,
expand-brackets,2.1.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,expand-brackets,,
expand-range,1.8.2,FALSE,Exempt - Version closely related to 1.8.1,2,MIT,Approved,expand-range,,
express-static-gzip,1.1.3,FALSE,Previously pedigree reviewed,2,MIT,Approved,express-static-gzip,,
extend,3.0.2,FALSE,Exempt - Version closely related to 3.0.1,2,MIT,Approved,extend,,
extend-shallow,2.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,extend-shallow,,
extend-shallow,3.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,extend-shallow,,
extglob,0.3.2,FALSE,Exempt - Version closely related to 0.3.1,2,MIT,Approved,extglob,,
extglob,2.0.4,FALSE,Exempt - Version closely related to 2.0.3,2,MIT,Approved,extglob,,
extsprintf,1.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,extsprintf,,
fast-deep-equal,2.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,fast-deep-equal,,
fast-json-stable-stringify,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,fast-json-stable-stringify,,
file-loader,4.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,file-loader,,
filename-regex,2.0.1,FALSE,Exempt - Version closely related to 2.0.0,2,MIT,Approved,filename-regex,,
fill-range,2.2.4,FALSE,Exempt - Version closely related to 2.2.3,2,MIT,Approved,fill-range,,
fill-range,4.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,fill-range,,
finalhandler,1.1.1,FALSE,Exempt - Version closely related to 1.1.0,2,MIT,Approved,finalhandler,,
flatpickr,4.6.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,flatpickr,,
focus-trap,4.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,focus-trap,,
focus-trap-react,6.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,focus-trap-react,,
follow-redirects,1.5.10,FALSE,Exempt - Version closely related to 1.5.1,2,MIT,Approved,follow-redirects,,
for-own,0.1.5,FALSE,Exempt - Version closely related to 0.1.3,2,MIT,Approved,for-own,,
forever-agent,0.6.1,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,forever-agent,,
form-data,2.3.3,FALSE,Exempt - Version closely related to 2.3.1,2,MIT,Approved,form-data,,
forwarded,0.1.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,forwarded,,
fragment-cache,0.2.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,fragment-cache,,
fresh,0.5.2,FALSE,Exempt - Version closely related to 0.5.0,2,MIT,Approved,fresh,,
fs-constants,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,fs-constants,,
fs-extra,8.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,fs-extra,,
fs.realpath,1.0.0,FALSE,Previously pedigree reviewed,2,ISC,Needs Review,fs.realpath,,
function-bind,1.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,function-bind,,
gauge,2.7.4,FALSE,Exempt - Version closely related to 2.7.3,2,ISC,Approved,gauge,,
get-value,2.0.6,FALSE,Previously pedigree reviewed,2,MIT,Approved,get-value,,
getpass,0.1.7,FALSE,Previously pedigree reviewed,2,MIT,Approved,getpass,,
glob,7.1.3,FALSE,Exempt - Version closely related to 7.1.4,2,ISC,Approved,glob,,
glob,7.1.5,FALSE,Exempt - Version closely related to 7.1.4,2,ISC,Needs Review | Needs Legal Approval,glob,,
glob-base,0.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,glob-base,,
glob-parent,2.0.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,glob-parent,,
glob-parent,3.1.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,glob-parent,,
graceful-fs,4.2.3,FALSE,Exempt - Version closely related to 4.2.0,2,ISC,Approved,graceful-fs,,
har-schema,2.0.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,har-schema,,
har-validator,5.1.3,FALSE,Exempt - Version closely related to 5.1.0,2,MIT,Approved,har-validator,,
has,1.0.3,FALSE,Exempt - Version closely related to 1.0.1,2,MIT,Approved,has,,
has-symbols,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,has-symbols,,
has-unicode,2.0.1,FALSE,Previously pedigree reviewed,2,ISC,Approved,has-unicode,,
has-value,0.3.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,has-value,,
has-value,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,has-value,,
has-values,0.1.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,has-values,,
has-values,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,has-values,,
http-errors,1.6.3,FALSE,Exempt - Version closely related to 1.6.1,2,MIT,Approved,http-errors,,
http-errors,1.7.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,http-errors,,
http-proxy-middleware,0.18.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,http-proxy-middleware,,
http-proxy-middleware,0.19.1,FALSE,Exempt - Version closely related to 0.19.0,2,MIT,Approved,http-proxy-middleware,,
http-signature,1.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,http-signature,,
iconv-lite,0.4.23,FALSE,Exempt - Version closely related to 0.4.13,2,MIT,Approved,iconv-lite,,
infer-owner,1.0.4,FALSE,Previously pedigree reviewed,2,ISC,Approved,infer-owner,,
inflight,1.0.6,FALSE,Previously pedigree reviewed,2,ISC,Approved,inflight,,
inherits,2.0.1,FALSE,Exempt - Version closely related to 2.0.3,2,ISC,Approved,inherits,,
inherits,2.0.3,FALSE,Previously pedigree reviewed,2,ISC,Approved,inherits,,
inherits,2.0.4,FALSE,Exempt - Version closely related to 2.0.3,2,ISC,Approved,inherits,,
ini,1.3.5,FALSE,Exempt - Version closely related to 1.3.4,2,ISC,Approved,ini,,
interpret,1.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,interpret,,
invariant,2.2.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,invariant,,
invert-kv,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved | Reference Only,invert-kv,,
ip,1.1.5,FALSE,Exempt - Version closely related to 1.1.4,2,MIT,Approved,ip,,
ipaddr.js,1.9.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,ipaddr.js,,
is-absolute-url,3.0.3,FALSE,Exempt - Expected license matched,2,MIT,Approved,is-absolute-url,,
is-accessor-descriptor,0.1.6,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-accessor-descriptor,,
is-accessor-descriptor,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-accessor-descriptor,,
is-buffer,1.1.6,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-buffer,,
is-buffer,2.0.4,FALSE,Exempt - Version closely related to 2.0.3,2,MIT,Approved,is-buffer,,
is-callable,1.1.4,FALSE,Exempt - Version closely related to 1.1.3,2,MIT,Approved,is-callable,,
is-data-descriptor,0.1.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-data-descriptor,,
is-data-descriptor,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-data-descriptor,,
is-date-object,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-date-object,,
is-descriptor,0.1.6,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-descriptor,,
is-descriptor,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-descriptor,,
is-dotfile,1.0.3,FALSE,Exempt - Version closely related to 1.0.2,2,MIT,Approved,is-dotfile,,
is-equal-shallow,0.1.3,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-equal-shallow,,
is-extendable,0.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-extendable,,
is-extendable,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-extendable,,
is-extglob,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-extglob,,
is-extglob,2.1.1,FALSE,Exempt - Version closely related to 2.1.0,2,MIT,Approved,is-extglob,,
is-fullwidth-code-point,1.0.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,is-fullwidth-code-point,,
is-fullwidth-code-point,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-fullwidth-code-point,,
is-glob,2.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-glob,,
is-glob,3.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-glob,,
is-glob,4.0.1,FALSE,Exempt - Version closely related to 4.0.0,2,MIT,Approved,is-glob,,
is-number,2.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-number,,
is-number,4.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-number,,
is-posix-bracket,0.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-posix-bracket,,
is-primitive,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-primitive,,
is-regex,1.0.4,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-regex,,
is-stream,1.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-stream,,
is-symbol,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-symbol,,
is-typedarray,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,is-typedarray,,
isarray,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,isarray,,
isexe,2.0.0,FALSE,Previously pedigree reviewed,2,ISC,Approved,isexe,,
isobject,2.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,isobject,,
isstream,0.1.2,FALSE,Exempt - Expected license matched,2,MIT,Approved,isstream,,
iterall,1.2.2,FALSE,Exempt - Expected license matched,2,MIT,Approved,iterall,,
jest-worker,24.9.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,jest-worker,,
js-tokens,4.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,js-tokens,,
js-yaml,3.13.1,FALSE,Exempt - Version closely related to 3.13.0,2,MIT,Approved,js-yaml,,
jsbn,0.1.1,FALSE,Exempt - Version closely related to 0.1.0,2,MIT,Needs Review,jsbn,,
json-parse-better-errors,1.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,json-parse-better-errors,,
json-schema,0.2.3,FALSE,Previously pedigree reviewed,2,,No license information available,json-schema,,
json-schema-traverse,0.4.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,json-schema-traverse,,
json-stringify-safe,5.0.1,FALSE,Previously pedigree reviewed,2,ISC,Approved,json-stringify-safe,,
json5,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,json5,,
jsprim,1.4.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,jsprim,,
kind-of,3.2.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,kind-of,,
kind-of,5.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,kind-of,,
kind-of,6.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,kind-of,,
lcid,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,lcid,,
lodash.debounce,4.0.8,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,lodash.debounce,,
lodash.isequal,4.5.0,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,lodash.isequal,,
lodash.omit,4.5.0,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,lodash.omit,,
loglevel,1.6.4,FALSE,Exempt - Version closely related to 1.6.1,2,MIT,Approved,loglevel,,
loose-envify,1.4.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,loose-envify,,
map-cache,0.2.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,map-cache,,
map-visit,1.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,map-visit,,
marked,0.7.0,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,marked,,
math-random,1.0.4,FALSE,Exempt - Version closely related to 1.0.1,2,MIT,Approved,math-random,,
media-typer,0.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,media-typer,,
memory-fs,0.5.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,memory-fs,,
merge-descriptors,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,merge-descriptors,,
merge-stream,2.0.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,merge-stream,,
methods,1.1.2,FALSE,Exempt - Expected license matched,2,MIT,Approved,methods,,
micromatch,2.3.11,FALSE,Exempt - Version closely related to 2.3.7,2,MIT,Approved,micromatch,,
micromatch,3.1.10,FALSE,Exempt - Version closely related to 3.1.4,2,MIT,Approved,micromatch,,
mime,1.4.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,mime,,
mime,1.6.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,mime,,
mime-db,1.40.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,mime-db,,
mime-types,2.1.24,FALSE,Exempt - Version closely related to 2.1.11,2,MIT,Approved,mime-types,,
mimic-response,2.0.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,mimic-response,,
minimatch,3.0.4,FALSE,Exempt - Version closely related to 3.0.3,2,ISC,Approved,minimatch,,
minimist,0.0.8,FALSE,Exempt - Version closely related to 0.0.10,2,MIT,Approved,minimist,,
minimist,1.2.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,minimist,,
mkdirp,0.5.1,FALSE,Previously pedigree reviewed,2,MIT,Needs Review,mkdirp,,
moment,2.24.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,moment,,
monorepo-symlink-test,0.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved | Reference Only,monorepo-symlink-test,,
ms,2.0.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,ms,,
ms,2.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,ms,,
ms,2.1.2,FALSE,Exempt - Version closely related to 2.1.1,2,MIT,Approved,ms,,
nanomatch,1.2.13,FALSE,Exempt - Version closely related to 1.2.6,2,MIT,Approved,nanomatch,,
nconf,0.10.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,nconf,,
negotiator,0.6.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,negotiator,,
nice-try,1.0.5,FALSE,Previously pedigree reviewed,2,MIT,Approved,nice-try,,
node-abi,2.12.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,node-abi,,
nopt,4.0.1,FALSE,Previously pedigree reviewed,2,ISC,Approved,nopt,,
npm-run-path,2.0.2,FALSE,Previously pedigree reviewed,2,MIT,Approved,npm-run-path,,
npmlog,4.1.2,FALSE,Exempt - Version closely related to 4.1.0,2,ISC,Approved,npmlog,,
number-is-nan,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,number-is-nan,,
nw-pre-gyp-module-test,0.0.1,FALSE,Previously pedigree reviewed,2,,No license information available,nw-pre-gyp-module-test,,
oauth-sign,0.9.0,FALSE,Previously pedigree reviewed,2,Apache-2.0,Approved,oauth-sign,,
object-assign,4.1.1,FALSE,Exempt - Version closely related to 4.1.0,2,MIT,Approved,object-assign,,
object-copy,0.1.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,object-copy,,
object-inspect,1.6.0,FALSE,Exempt - Expected license matched,2,MIT,Approved,object-inspect,,
object-is,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,object-is,,
object-keys,1.1.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,object-keys,,
object-visit,1.0.1,FALSE,Previously pedigree reviewed,2,MIT,Approved,object-visit,,
object.getownpropertydescriptors,2.0.3,FALSE,Previously pedigree reviewed,2,MIT,Approved,object.getownpropertydescriptors,,
object.omit,2.0.1,FALSE,Exempt - Version closely related to 2.0.0,2,MIT,Approved,object.omit,,
object.pick,1.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,object.pick,,
on-finished,2.3.0,FALSE,Previously pedigree reviewed,2,MIT,Approved,on-finished,,
